TrainingLoss	Epoch	Step	ValidationLoss	accent	gender
0.4369	13.8982	1000	0.4033	colombian	male
0.4134	27.7860	2000	0.3862	colombian	male
0.4074	41.6737	3000	0.3842	colombian	male
0.3982	55.5614	4000	0.3790	colombian	male
0.4293	19.2347	1000	0.4022	argentinian	male
0.4011	38.4694	2000	0.3846	argentinian	male
0.4041	57.7042	3000	0.3875	argentinian	male
0.4038	76.9389	4000	0.3827	argentinian	male
0.4348	9.0091	1000	0.4039	argentinian	female
0.4052	18.0181	2000	0.3852	argentinian	female
0.3974	27.0272	3000	0.3848	argentinian	female
0.389	36.0363	4000	0.3828	argentinian	female
0.4333	13.3373	1000	0.3893	chilean	male
0.411	26.6745	2000	0.3741	chilean	male
0.3841	40.0	3000	0.3716	chilean	male
0.3874	53.3373	4000	0.3727	chilean	male
0.4494	20.8184	1000	0.4033	chilean	female
0.4118	41.6547	2000	0.3925	chilean	female
0.4101	62.4910	3000	0.3881	chilean	female
0.4037	83.3274	4000	0.3939	chilean	female
